time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
0.7820010000,0.6050000000,1.457044547e-02,1.398676888e-09,-1.091506116e-02,-2.855592435e-09
0.7830010000,0.6100000000,1.465873047e-02,1.398889289e-09,-1.098914030e-02,-2.855794939e-09
0.7840010000,0.6150000000,1.474652265e-02,1.399101409e-09,-1.106296172e-02,-2.855999003e-09
0.7850010000,0.6200000000,1.483382280e-02,1.399313634e-09,-1.113652558e-02,-2.856203285e-09
0.7860010000,0.6250000000,1.492063169e-02,1.399525565e-09,-1.120983203e-02,-2.856404533e-09
0.7870010000,0.6300000000,1.500695013e-02,1.399737901e-09,-1.128288125e-02,-2.856609333e-09
0.7880010000,0.6350000000,1.509277890e-02,1.399950099e-09,-1.135567339e-02,-2.856812358e-09
0.7890010000,0.6400000000,1.517811878e-02,1.400162547e-09,-1.142820861e-02,-2.857018415e-09
0.7900010000,0.6450000000,1.526297056e-02,1.400374930e-09,-1.150048706e-02,-2.857220183e-09
0.7910010000,0.6500000000,1.534733503e-02,1.400587128e-09,-1.157250891e-02,-2.857424984e-09
0.7920010000,0.6550000000,1.543121295e-02,1.400799724e-09,-1.164427432e-02,-2.857628009e-09
0.7930010000,0.6600000000,1.551460512e-02,1.401011996e-09,-1.171578344e-02,-2.857832290e-09
0.7940010000,0.6650000000,1.559751231e-02,1.401224573e-09,-1.178703643e-02,-2.858037090e-09
0.7950010000,0.6700000000,1.567993531e-02,1.401437118e-09,-1.185803346e-02,-2.858240115e-09
0.7960010000,0.6750000000,1.576187488e-02,1.401649506e-09,-1.192877468e-02,-2.858445435e-09
0.7970010000,0.6800000000,1.584333181e-02,1.401862051e-09,-1.199926026e-02,-2.858650236e-09
0.7980010000,0.6850000000,1.592430687e-02,1.402074471e-09,-1.206949034e-02,-2.858853261e-09
0.7990010000,0.6900000000,1.600480083e-02,1.402287141e-09,-1.213946508e-02,-2.859059838e-09
0.8000010000,0.6950000000,1.608481446e-02,1.402500111e-09,-1.220918466e-02,-2.859262343e-09
0.8010010000,0.7000000000,1.616434854e-02,1.402712486e-09,-1.227864922e-02,-2.859465887e-09
0.8020010000,0.7050000000,1.624340384e-02,1.402925299e-09,-1.234785892e-02,-2.859671208e-09
0.8030010000,0.7100000000,1.632198112e-02,1.403138098e-09,-1.241681392e-02,-2.859875489e-09
0.8040010000,0.7150000000,1.640008115e-02,1.403351328e-09,-1.248551438e-02,-2.860080809e-09
0.8050010000,0.7200000000,1.647770470e-02,1.403564206e-09,-1.255396045e-02,-2.860286347e-09
0.8060010000,0.7250000000,1.655485254e-02,1.403777255e-09,-1.262215230e-02,-2.860491667e-09
0.8070010000,0.7300000000,1.663152542e-02,1.403990674e-09,-1.269009009e-02,-2.860694692e-09
0.8080010000,0.7350000000,1.670772411e-02,1.404203950e-09,-1.275777396e-02,-2.860899493e-09
0.8090010000,0.7400000000,1.678344937e-02,1.404417657e-09,-1.282520408e-02,-2.861105550e-09
0.8100010000,0.7450000000,1.685870196e-02,1.404631326e-09,-1.289238060e-02,-2.861309094e-09
0.8110010000,0.7500000000,1.693348265e-02,1.404845301e-09,-1.295930368e-02,-2.861515152e-09
0.8120010000,0.7550000000,1.700779218e-02,1.405059922e-09,-1.302597349e-02,-2.861719216e-09
0.8130010000,0.7600000000,1.708163132e-02,1.405275254e-09,-1.309239017e-02,-2.861925273e-09
0.8140010000,0.7650000000,1.715500082e-02,1.405491305e-09,-1.315855388e-02,-2.862129554e-09
