ctime,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
4.500100000e-02,-3.0800000000,-2.9937990662,-2.9934577580,4.9988082831,4.9985545547
4.600100000e-02,-3.0750000000,-2.9871805601,-2.9868385158,4.9877765177,4.9875222467
4.700100000e-02,-3.0700000000,-2.9805622102,-2.9802194267,4.9767450089,4.9764901929
4.800100000e-02,-3.0650000000,-2.9739440173,-2.9736004913,4.9657137576,4.9654583943
4.900100000e-02,-3.0600000000,-2.9673259821,-2.9669817103,4.9546827650,4.9544268520
5.000100000e-02,-3.0550000000,-2.9607081053,-2.9603630845,4.9436520323,4.9433955672
5.100100000e-02,-3.0500000000,-2.9540903876,-2.9537446145,4.9326215606,4.9323645410
5.200100000e-02,-3.0450000000,-2.9474728296,-2.9471263010,4.9215913510,4.9213337746
5.300100000e-02,-3.0400000000,-2.9408554322,-2.9405081446,4.9105614048,4.9103032691
5.400100000e-02,-3.0350000000,-2.9342381960,-2.9338901461,4.8995317232,4.8992730256
5.500100000e-02,-3.0300000000,-2.9276211217,-2.9272723062,4.8885023071,4.8882430453
5.600100000e-02,-3.0250000000,-2.9210042101,-2.9206546256,4.8774731580,4.8772133295
5.700100000e-02,-3.0200000000,-2.9143874620,-2.9140371050,4.8664442769,4.8661838791
5.800100000e-02,-3.0150000000,-2.9077708779,-2.9074197451,4.8554156651,4.8551546956
5.900100000e-02,-3.0100000000,-2.9011544588,-2.9008025466,4.8443873237,4.8441257799
6.000100000e-02,-3.0050000000,-2.8945382053,-2.8941855103,4.8333592541,4.8330971335
6.100100000e-02,-3.0000000000,-2.8879221182,-2.8875686369,4.8223314573,4.8220687573
6.200100000e-02,-2.9950000000,-2.8813061983,-2.8809519271,4.8113039348,4.8110406528
6.300100000e-02,-2.9900000000,-2.8746904463,-2.8743353817,4.8002766876,4.8000128210
6.400100000e-02,-2.9850000000,-2.8680748630,-2.8677190013,4.7892497171,4.7889852633
6.500100000e-02,-2.9800000000,-2.8614594491,-2.8611027869,4.7782230245,4.7779579808
6.600100000e-02,-2.9750000000,-2.8548442055,-2.8544867390,4.7671966110,4.7669309749
6.700100000e-02,-2.9700000000,-2.8482291329,-2.8478708586,4.7561704780,4.7559042467
6.800100000e-02,-2.9650000000,-2.8416142322,-2.8412551463,4.7451446268,4.7448777977
6.900100000e-02,-2.9600000000,-2.8349995040,-2.8346396029,4.7341190586,4.7338516289
7.000100000e-02,-2.9550000000,-2.8283849493,-2.8280242292,4.7230937748,4.7228257418
7.100100000e-02,-2.9500000000,-2.8217705688,-2.8214090259,4.7120687766,4.7118001376
7.200100000e-02,-2.9450000000,-2.8151563633,-2.8147939939,4.7010440654,4.7007748175
7.300100000e-02,-2.9400000000,-2.8085423338,-2.8081791340,4.6900196425,4.6897497831
7.400100000e-02,-2.9350000000,-2.8019284808,-2.8015644469,4.6789955093,4.6787250354
7.500100000e-02,-2.9300000000,-2.7953148054,-2.7949499335,4.6679716670,4.6677005760
7.600100000e-02,-2.9250000000,-2.7887013084,-2.7883355946,4.6569481172,4.6566764061
7.700100000e-02,-2.9200000000,-2.7820879905,-2.7817214309,4.6459248611,4.6456525270
7.800100000e-02,-2.9150000000,-2.7754748527,-2.7751074433,4.6349019000,4.6346289402
7.900100000e-02,-2.9100000000,-2.7688618958,-2.7684936327,4.6238792355,4.6236056470
8.000100000e-02,-2.9050000000,-2.7622491206,-2.7618799998,4.6128568689,4.6125826488
8.100100000e-02,-2.9000000000,-2.7556365280,-2.7552665455,4.6018348016,4.6015599469
8.200100000e-02,-2.8950000000,-2.7490241190,-2.7486532706,4.5908130350,4.5905375428
8.300100000e-02,-2.8900000000,-2.7424118943,-2.7420401761,4.5797915705,4.5795154378
8.400100000e-02,-2.8850000000,-2.7357998548,-2.7354272626,4.5687704097,4.5684936335
8.500100000e-02,-2.8800000000,-2.7291880015,-2.7288145312,4.5577495539,4.5574721311
8.600100000e-02,-2.8750000000,-2.7225763353,-2.7222019827,4.5467290046,4.5464509322
8.700100000e-02,-2.8700000000,-2.7159648570,-2.7155896179,4.5357087633,4.5354300383
8.800100000e-02,-2.8650000000,-2.7093535675,-2.7089774378,4.5246888314,4.5244094506
8.900100000e-02,-2.8600000000,-2.7027424679,-2.7023654431,4.5136692104,4.5133891708
9.000100000e-02,-2.8550000000,-2.6961315589,-2.6957536349,4.5026499019,4.5023692003
9.100100000e-02,-2.8500000000,-2.6895208416,-2.6891420140,4.4916309074,4.4913495406
9.200100000e-02,-2.8450000000,-2.6829103168,-2.6825305813,4.4806122283,4.4803301932
9.300100000e-02,-2.8400000000,-2.6762999855,-2.6759193377,4.4695938662,4.4693111596
9.400100000e-02,-2.8350000000,-2.6696898488,-2.6693082842,4.4585758227,4.4582924413
9.500100000e-02,-2.8300000000,-2.6630799074,-2.6626974217,4.4475580993,4.4472740399
9.600100000e-02,-2.8250000000,-2.6564701624,-2.6560867511,4.4365406976,4.4362559569
9.700100000e-02,-2.8200000000,-2.6498606148,-2.6494762733,4.4255236191,4.4252381939
9.800100000e-02,-2.8150000000,-2.6432512655,-2.6428659893,4.4145068655,4.4142207524
9.900100000e-02,-2.8100000000,-2.6366421155,-2.6362559001,4.4034904383,4.4032036340
0.1000010000,-2.8050000000,-2.6300331659,-2.6296460066,4.3924743393,4.3921868403
0.1010010000,-2.8000000000,-2.6234244176,-2.6230363097,4.3814585699,4.3811703729
0.1020010000,-2.7950000000,-2.6168158716,-2.6164268105,4.3704431318,4.3701542335
0.1030010000,-2.7900000000,-2.6102075290,-2.6098175100,4.3594280267,4.3591384235
0.1040010000,-2.7850000000,-2.6035993907,-2.6032084091,4.3484132563,4.3481229448
0.1050010000,-2.7800000000,-2.5969914579,-2.5965995088,4.3373988222,4.3371077989
0.1060010000,-2.7750000000,-2.5903837315,-2.5899908101,4.3263847261,4.3260929874
0.1070010000,-2.7700000000,-2.5837762126,-2.5833823140,4.3153709697,4.3150785122
0.1080010000,-2.7650000000,-2.5771689022,-2.5767740217,4.3043575548,4.3040643748
0.1090010000,-2.7600000000,-2.5705618015,-2.5701659340,4.2933444830,4.2930505769
0.1100010000,-2.7550000000,-2.5639549114,-2.5635580520,4.2823317561,4.2820371203
0.1110010000,-2.7500000000,-2.5573482331,-2.5569503768,4.2713193759,4.2710240067
0.1120010000,-2.7450000000,-2.5507417677,-2.5503429094,4.2603073440,4.2600112379
0.1130010000,-2.7400000000,-2.5441355162,-2.5437356508,4.2492956624,4.2489988155
0.1140010000,-2.7350000000,-2.5375294798,-2.5371286022,4.2382843327,4.2379867414
0.1150010000,-2.7300000000,-2.5309236595,-2.5305217647,4.2272733569,4.2269750173
0.1160010000,-2.7250000000,-2.5243180565,-2.5239151392,4.2162627366,4.2159636450
0.1170010000,-2.7200000000,-2.5177126720,-2.5173087269,4.2052524738,4.2049526264
0.1180010000,-2.7150000000,-2.5111075070,-2.5107025289,4.1942425703,4.1939419632
0.1190010000,-2.7100000000,-2.5045025627,-2.5040965462,4.1832330280,4.1829316573
0.1200010000,-2.7050000000,-2.4978978404,-2.4974907801,4.1722238487,4.1719217105
0.1210010000,-2.7000000000,-2.4912933410,-2.4908852317,4.1612150344,4.1609121247
0.1220010000,-2.6950000000,-2.4846890659,-2.4842799020,4.1502065869,4.1499029018
0.1230010000,-2.6900000000,-2.4780850161,-2.4776747922,4.1391985081,4.1388940436
0.1240010000,-2.6850000000,-2.4714811930,-2.4710699035,4.1281908001,4.1278855521
0.1250010000,-2.6800000000,-2.4648775977,-2.4644652370,4.1171834647,4.1168774292
0.1260010000,-2.6750000000,-2.4582742314,-2.4578607939,4.1061765039,4.1058696768
0.1270010000,-2.6700000000,-2.4516710953,-2.4512565754,4.0951699198,4.0948622969
0.1280010000,-2.6650000000,-2.4450681907,-2.4446525827,4.0841637142,4.0838552915
0.1290010000,-2.6600000000,-2.4384655188,-2.4380488169,4.0731578893,4.0728486624
0.1300010000,-2.6550000000,-2.4318630809,-2.4314452794,4.0621524471,4.0618424118
0.1310010000,-2.6500000000,-2.4252608782,-2.4248419712,4.0511473895,4.0508365417
0.1320010000,-2.6450000000,-2.4186589120,-2.4182388936,4.0401427187,4.0398310540
0.1330010000,-2.6400000000,-2.4120571836,-2.4116360479,4.0291384367,4.0288259508
0.1340010000,-2.6350000000,-2.4054556943,-2.4050334352,4.0181345457,4.0178212343
0.1350010000,-2.6300000000,-2.3988544454,-2.3984310570,4.0071310478,4.0068169063
0.1360010000,-2.6250000000,-2.3922534382,-2.3918289143,3.9961279450,3.9958129692
0.1370010000,-2.6200000000,-2.3856526740,-2.3852270086,3.9851252396,3.9848094249
0.1380010000,-2.6150000000,-2.3790521542,-2.3786253411,3.9741229337,3.9738062756
0.1390010000,-2.6100000000,-2.3724518801,-2.3720239130,3.9631210295,3.9628035234
0.1400010000,-2.6050000000,-2.3658518531,-2.3654227258,3.9521195291,3.9518011706
0.1410010000,-2.6000000000,-2.3592520746,-2.3588217806,3.9411184349,3.9407992192
0.1420010000,-2.5950000000,-2.3526525458,-2.3522210790,3.9301177490,3.9297976716
0.1430010000,-2.5900000000,-2.3460532683,-2.3456206221,3.9191174738,3.9187965299
0.1440010000,-2.5850000000,-2.3394542435,-2.3390204113,3.9081176114,3.9077957963
0.1450010000,-2.5800000000,-2.3328554727,-2.3324204481,3.8971181642,3.8967954731
0.1460010000,-2.5750000000,-2.3262569573,-2.3258207337,3.8861191345,3.8857955626
0.1470010000,-2.5700000000,-2.3196586989,-2.3192212696,3.8751205246,3.8747960671
0.1480010000,-2.5650000000,-2.3130606989,-2.3126220572,3.8641223369,3.8637969889
0.1490010000,-2.5600000000,-2.3064629587,-2.3060230979,3.8531245737,3.8527983303
0.1500010000,-2.5550000000,-2.2998654798,-2.2994243930,3.8421272375,3.8418000937
0.1510010000,-2.5500000000,-2.2932682637,-2.2928259441,3.8311303306,3.8308022814
0.1520010000,-2.5450000000,-2.2866713119,-2.2862277525,3.8201338555,3.8198048958
0.1530010000,-2.5400000000,-2.2800746260,-2.2796298198,3.8091378146,3.8088079394
0.1540010000,-2.5350000000,-2.2734782074,-2.2730321474,3.7981422105,3.7978114146
0.1550010000,-2.5300000000,-2.2668820577,-2.2664347368,3.7871470455,3.7868153237
0.1560010000,-2.5250000000,-2.2602861784,-2.2598375895,3.7761523223,3.7758196694
0.1570010000,-2.5200000000,-2.2536905712,-2.2532407069,3.7651580433,3.7648244541
0.1580010000,-2.5150000000,-2.2470952376,-2.2466440907,3.7541642112,3.7538296802
0.1590010000,-2.5100000000,-2.2405001792,-2.2400477423,3.7431708284,3.7428353505
0.1600010000,-2.5050000000,-2.2339053976,-2.2334516632,3.7321778977,3.7318414673
