time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
0.4800010000,-0.9050000000,-0.005000605,-0.1735097089,0.0034832703,0.2972050971
0.4830010000,-0.8900000000,-0.0054585884,-0.1566651257,0.0037849121,0.2689958430
0.4860010000,-0.8750000000,-0.0059975753,-0.1401204155,0.0041375375,0.2412634190
0.4880010000,-0.8650000000,-0.0064117003,-0.1292832294,0.0044069406,0.2230806834
0.4890010000,-0.8600000000,-0.0066378692,-0.1239293454,0.0045535715,0.2140917698
0.4910010000,-0.8500000000,-0.0071336727,-0.1133644571,0.0048739232,0.1963397989
0.4920010000,-0.8450000000,-0.0074056809,-0.1081595151,0.005049113,0.1875861654
0.4940010000,-0.8350000000,-0.00800457529,-9.792174751e-02,0.0054336866,0.1703501805
0.4960010000,-0.8250000000,-0.00868668561,-8.793979129e-02,0.005870245,0.1535167661
0.4980010000,-0.8150000000,-0.00946533336,-7.825013572e-02,0.0063675182,0.1371425678
0.4990010000,-0.8100000000,-0.00989531146,-7.352806112e-02,0.0066419723,0.1291480916
0.5000010000,-0.8050000000,-0.01035480407,-6.889571882e-02,0.00693539,0.1212943206
0.5010010000,-0.8000000000,-0.01084555333,-6.435963410e-02,0.0072491369,0.1135914336
0.5020010000,-0.7950000000,-0.01136915516,-5.992683964e-02,0.0075845874,0.1060504306
0.5030010000,-0.7900000000,-0.01192695271,-5.560488711e-02,0.00794308425,9.868316575e-02
0.5040010000,-0.7850000000,-0.01251990085,-5.140184584e-02,0.0083258812,9.150236577e-02
0.5050010000,-0.7800000000,-0.01314839987,-4.732628308e-02,0.00873406745,8.452162532e-02
0.5060010000,-0.7750000000,-0.01381209974,-4.338721922e-02,0.00916846846,7.775537097e-02
0.5070010000,-0.7700000000,-0.0145096815,-3.959404989e-02,0.00962952237,7.121878167e-02
0.5080010000,-0.7650000000,-0.01523862944,-3.595642609e-02,0.01011713062,6.492765225e-02
0.5090010000,-0.7600000000,-0.01599501679,-3.248408321e-02,0.0106304863,5.889818467e-02
0.5100010000,-0.7550000000,-0.01677333744,-2.918661074e-02,0.01116788871,5.314669178e-02
0.5110010000,-0.7500000000,-0.01756642358,-2.607315773e-02,0.01172656035,4.768919995e-02
0.5120010000,-0.7450000000,-0.01836549197,-2.315207448e-02,0.01230249086,4.254094289e-02
0.5130010000,-0.7400000000,-0.01916035476,-2.043050004e-02,0.01289034148,3.771574857e-02
0.5140010000,-0.7350000000,-0.01993981294,-1.791391646e-02,0.01348344787,3.322533708e-02
0.5150010000,-0.7300000000,-0.02069222089,-1.560570440e-02,0.01407395751,2.907856716e-02
0.5160010000,-0.7250000000,-0.02140617523,-1.350674657e-02,0.01465312466,2.528069184e-02
0.5170010000,-0.7200000000,-0.02207124832,-1.161513242e-02,0.01521176122,2.183270351e-02
0.5180010000,-0.7150000000,-0.022678667325,-9.926015615e-03,0.01574080798,1.873085960e-02
0.5190010000,-0.7100000000,-0.023221842203,-8.431661497e-03,0.01623195761,1.596647397e-02
0.5200010000,-0.7050000000,-0.023696670575,-7.121697265e-03,0.01667823848,1.352603382e-02
0.5210010000,-0.7000000000,-0.024101589739,-5.983546471e-03,0.01707446801,1.139165795e-02
0.5220010000,-0.6950000000,-0.024437392327,-5.003000473e-03,0.017417507986,9.541859624e-03
0.5240010000,-0.6850000000,-0.024914289955,-3.453575915e-03,0.017941668087,6.598020433e-03
0.5290010000,-0.6600000000,-0.025218012503,-1.294342407e-03,0.0184340155,2.465570530e-03
0.5330010000,-0.6400000000,-0.0249027787156,-5.669172544e-04,0.018273070877,1.082300323e-03
0.5380010000,-0.6150000000,-0.024192303825,-1.929894250e-04,0.0177561833106,3.792300494e-04
0.5440010000,-0.5850000000,-0.0231469432691,-5.330349094e-05,0.0169582690336,1.065694464e-04
0.5880010000,-0.3650000000,-0.0147030367601,-5.599901486e-09,0.0105332974641,9.775940089e-09
0.6610010000,0.,-1.51202676421E-08,-9.284569479e-10,8.122539113E-09,0
0.6780010000,8.500000000e-02,0.0033489760734,-9.254022227e-10,-0.00234051178773,0
0.6960010000,0.1750000000,0.00663865204617,-9.221749780e-10,-0.0047045225568,0
0.7140010000,0.2650000000,0.00967436542793,-9.189312399e-10,-0.00695266302781,0
