time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
0.5320010000,-0.6450000000,-0.01349601753,-1.468305210e-02,0.009082736,2.785484229e-02
0.5330010000,-0.6400000000,-0.01391521943,-1.305049155e-02,0.00940199622,2.483573086e-02
0.5340010000,-0.6350000000,-0.01431532175,-1.154447653e-02,0.00971397191,2.203851624e-02
0.5350010000,-0.6300000000,-0.01469173082,-1.016412810e-02,0.01001488204,1.946328748e-02
0.5360010000,-0.6250000000,-0.01504036018,-8.907298780e-03,0.01030099308,1.710796248e-02
0.5370010000,-0.6200000000,-0.0153578227,-7.770573820e-03,0.01056880381,1.496821008e-02
0.5380010000,-0.6150000000,-0.015641573231,-6.749335579e-03,0.01081522471,1.303747821e-02
0.5390010000,-0.6100000000,-0.015889987485,-5.837889395e-03,0.01103773188,1.130713445e-02
0.5400010000,-0.6050000000,-0.01610237258,-5.029642120e-03,0.011234492708,9.766697892e-03
0.5410010000,-0.6000000000,-0.016278913639,-4.317318691e-03,0.011404563564,8.404032576e-03
0.5430010000,-0.5900000000,-0.016528927718,-3.149352032e-03,0.011664143905,6.158695445e-03
0.5450010000,-0.5800000000,-0.016654343403,-2.271014477e-03,0.011821302046,4.460497604e-03
0.5550010000,-0.5300000000,-0.016085434703,-4.014556670e-04,0.0115565628236,8.012092364e-04
0.5660010000,-0.4750000000,-0.0146026645418,-5.642558817e-05,0.0104779509826,1.128169174e-04
0.6610010000,0.,-1.1715771938E-08,1.373123128e-09,5.942343631E-09,0
0.6790010000,9.000000000e-02,0.00268339585306,1.376943991e-09,-0.00187412617195,0
0.6970010000,0.1800000000,0.00517837107929,1.380714489e-09,-0.00365920325247,0
0.7150010000,0.2700000000,0.00749018382549,1.384505712e-09,-0.00535620938792,0
0.7330010000,0.3600000000,0.0096239848467,1.388304236e-09,-0.00696611978133,0
0.7510010000,0.4500000000,0.0115848002079,1.392109617e-09,-0.00848989963071,0
0.7700010000,0.5450000000,0.0134722943839,1.396132709e-09,-0.0100059481969,0
0.7880010000,0.6350000000,0.0150927775,1.399950099e-09,-0.0113556705332,0
0.8070010000,0.7300000000,0.016631524016,1.403990674e-09,-0.0126900872293,0
0.8260010000,0.8250000000,0.017999074902,1.408041685e-09,-0.0139328412154,0
0.8450010000,0.9200000000,0.0192005796979,1.412091675e-09,-0.0150850071015,0
0.8640010000,1.0150000000,0.0202410336438,1.416150098e-09,-0.0161476470476,0
0.8840010000,1.1150000000,0.0211675812196,1.420430952e-09,-0.0171706514434,0
0.9030010000,1.2100000000,0.0218924638755,1.424508310e-09,-0.0180528028895,0
0.9230010000,1.3100000000,0.0224970581012,1.428822069e-09,-0.0188881049453,0
0.9430010000,1.4100000000,0.0229441796768,1.433236647e-09,-0.0196288970711,0
0.9630010000,1.5100000000,0.0232387716219,1.438057798e-09,-0.0202763442769,0
0.9800010000,1.5950000000,0.0233726885688,1.441203418e-09,-0.0207541413834,0
1.0080010000,1.7350000000,0.0234175452128,1.447172213e-09,-0.0213977407974,0
1.0630010000,2.0100000000,0.023504111471,1.459012700e-09,-0.0221531367458,0
1.9830010000,6.6100000000,0.0249636291,0,-0.0277842275,0
