time,v_sweep,i_pulldown,i_gndclamp,i_pullup,i_powerclamp
0.1610010000,-2.5000000000,-1.3482904763,-1.3479959658,2.4310457298,2.4308356927
0.1620010000,-2.4950000000,-1.3446399778,-1.3443447082,2.4244737711,2.4242631981
0.1630010000,-2.4900000000,-1.3409896565,-1.3406936240,2.4179021258,2.4176910142
0.1640010000,-2.4850000000,-1.3373395134,-1.3370427138,2.4113307957,2.4111191426
0.1650010000,-2.4800000000,-1.3336895494,-1.3333919789,2.4047597824,2.4045475850
0.1660010000,-2.4750000000,-1.3300397655,-1.3297414199,2.3981890875,2.3979763430
0.1670010000,-2.4700000000,-1.3263901627,-1.3260910379,2.3916187129,2.3914054183
0.1680010000,-2.4650000000,-1.3227407419,-1.3224408339,2.3850486601,2.3848348127
0.1690010000,-2.4600000000,-1.3190915042,-1.3187908088,2.3784789310,2.3782645278
0.1700010000,-2.4550000000,-1.3154424505,-1.3151409635,2.3719095273,2.3716945654
0.1710010000,-2.4500000000,-1.3117935819,-1.3114912991,2.3653404508,2.3651249272
0.1720010000,-2.4450000000,-1.3081448994,-1.3078418165,2.3587717033,2.3585556150
0.1730010000,-2.4400000000,-1.3044964039,-1.3041925166,2.3522032864,2.3519866306
0.1740010000,-2.4350000000,-1.3008480966,-1.3005434006,2.3456352022,2.3454179756
0.1750010000,-2.4300000000,-1.2971999784,-1.2968944694,2.3390674523,2.3388496520
0.1760010000,-2.4250000000,-1.2935520504,-1.2932457240,2.3325000386,2.3322816615
0.1770010000,-2.4200000000,-1.2899043137,-1.2895971655,2.3259329629,2.3257140060
0.1780010000,-2.4150000000,-1.2862567693,-1.2859487948,2.3193662272,2.3191466873
0.1790010000,-2.4100000000,-1.2826094183,-1.2823006130,2.3127998334,2.3125797072
0.1800010000,-2.4050000000,-1.2789622618,-1.2786526212,2.3062337832,2.3060130677
0.1810010000,-2.4000000000,-1.2753153009,-1.2750048204,2.2996680786,2.2994467706
0.1820010000,-2.3950000000,-1.2716685367,-1.2713572117,2.2931027216,2.2928808178
0.1830010000,-2.3900000000,-1.2680219703,-1.2677097961,2.2865377141,2.2863152113
0.1840010000,-2.3850000000,-1.2643756028,-1.2640625747,2.2799730581,2.2797499530
0.1850010000,-2.3800000000,-1.2607294353,-1.2604155487,2.2734087555,2.2731850448
0.1860010000,-2.3750000000,-1.2570834690,-1.2567687191,2.2668448084,2.2666204887
0.1870010000,-2.3700000000,-1.2534377051,-1.2531220870,2.2602812187,2.2600562868
0.1880010000,-2.3650000000,-1.2497921446,-1.2494756536,2.2537179885,2.2534924409
0.1890010000,-2.3600000000,-1.2461467889,-1.2458294199,2.2471551199,2.2469289531
0.1900010000,-2.3550000000,-1.2425016389,-1.2421833872,2.2405926148,2.2403658255
0.1910010000,-2.3500000000,-1.2388566960,-1.2385375566,2.2340304754,2.2338030601
0.1920010000,-2.3450000000,-1.2352119613,-1.2348919291,2.2274687038,2.2272406590
0.1930010000,-2.3400000000,-1.2315674361,-1.2312465061,2.2209073021,2.2206786242
0.1940010000,-2.3350000000,-1.2279231216,-1.2276012886,2.2143462724,2.2141169579
0.1950010000,-2.3300000000,-1.2242790189,-1.2239562779,2.2077856169,2.2075556622
0.1960010000,-2.3250000000,-1.2206351294,-1.2203114751,2.2012253378,2.2009947392
0.1970010000,-2.3200000000,-1.2169914542,-1.2166668815,2.1946654372,2.1944341911
0.1980010000,-2.3150000000,-1.2133479947,-1.2130224983,2.1881059174,2.1878740202
0.1990010000,-2.3100000000,-1.2097047522,-1.2093783267,2.1815467806,2.1813142285
0.2000010000,-2.3050000000,-1.2060617278,-1.2057343679,2.1749880291,2.1747548182
0.2010010000,-2.3000000000,-1.2024189230,-1.2020906233,2.1684296650,2.1681957918
0.2020010000,-2.2950000000,-1.1987763390,-1.1984470940,2.1618716908,2.1616371513
0.2030010000,-2.2900000000,-1.1951339771,-1.1948037813,2.1553141087,2.1550788991
0.2040010000,-2.2850000000,-1.1914918387,-1.1911606866,2.1487569210,2.1485210374
0.2050010000,-2.2800000000,-1.1878499251,-1.1875178111,2.1422001301,2.1419635687
0.2060010000,-2.2750000000,-1.1842082377,-1.1838751561,2.1356437385,2.1354064951
0.2070010000,-2.2700000000,-1.1805667778,-1.1802327229,2.1290877483,2.1288498192
0.2080010000,-2.2650000000,-1.1769255469,-1.1765905130,2.1225321622,2.1222935432
0.2090010000,-2.2600000000,-1.1732845463,-1.1729485275,2.1159769824,2.1157376695
0.2100010000,-2.2550000000,-1.1696437774,-1.1693067679,2.1094222116,2.1091822007
0.2110010000,-2.2500000000,-1.1660032417,-1.1656652356,2.1028678521,2.1026271391
0.2120010000,-2.2450000000,-1.1623629405,-1.1620239319,2.0963139064,2.0960724871
0.2130010000,-2.2400000000,-1.1587228753,-1.1583828581,2.0897603771,2.0895182474
0.2140010000,-2.2350000000,-1.1550830477,-1.1547420158,2.0832072668,2.0829644223
0.2150010000,-2.2300000000,-1.1514434589,-1.1511014063,2.0766545780,2.0764110145
0.2160010000,-2.2250000000,-1.1478041107,-1.1474610311,2.0701023133,2.0698580265
