time,pulldown_on,pulldown_off,pullup_on,pullup_off
4.47500000e-09,2.65502059,3.29020133,0.67821297,2.8649130e-03
4.50000000e-09,2.64521660,3.29036813,0.68766285,2.8159382e-03
4.52500000e-09,2.63553219,3.29053423,0.69698904,2.7676326e-03
4.55000000e-09,2.62596893,3.29069954,0.70618942,2.7199898e-03
4.57500000e-09,2.61652812,3.29086399,0.71526205,2.6730034e-03
4.60000000e-09,2.60721086,3.29102749,0.72420518,2.6266675e-03
4.62500000e-09,2.59801804,3.29118998,0.73301725,2.5809762e-03
4.65000000e-09,2.58895039,3.29135137,0.74169688,2.5359239e-03
4.67500000e-09,2.58000848,3.29151161,0.75024285,2.4915049e-03
4.70000000e-09,2.57119275,3.29167061,0.75865408,2.4477138e-03
4.72500000e-09,2.56250350,3.29182833,0.76692960,2.4045454e-03
4.75000000e-09,2.55394091,3.29198470,0.77506849,2.3619944e-03
4.77500000e-09,2.54550506,3.29213966,0.78306978,2.3200556e-03
4.80000000e-09,2.53719589,3.29229315,0.79093230,2.2787238e-03
4.82500000e-09,2.52901326,3.29244514,0.79865713,2.2379940e-03
4.85000000e-09,2.52095694,3.29259555,0.80624775,2.1978612e-03
4.87500000e-09,2.51302659,3.29274436,0.81370515,2.1583201e-03
4.90000000e-09,2.50522180,3.29289151,0.82102875,2.1193659e-03
4.92500000e-09,2.49754207,3.29303696,0.82821796,2.0809933e-03
4.95000000e-09,2.48998682,3.29318069,0.83527252,2.0431974e-03
4.97500000e-09,2.48255540,3.29332265,0.84219255,2.0059731e-03
5.00000000e-09,2.47524710,3.29346281,0.84897846,1.9693153e-03
5.02500000e-09,2.46806114,3.29360114,0.85563091,1.9332187e-03
5.05000000e-09,2.46099667,3.29373762,0.86215074,1.8976784e-03
5.07500000e-09,2.45405279,3.29387222,0.86853894,1.8626891e-03
5.10000000e-09,2.44722856,3.29400492,0.87479661,1.8282456e-03
5.12500000e-09,2.44052297,3.29413570,0.88092494,1.7943427e-03
5.15000000e-09,2.43393498,3.29426455,0.88692518,1.7609750e-03
5.17500000e-09,2.42746350,3.29439145,0.89279868,1.7281373e-03
5.20000000e-09,2.42110740,3.29451638,0.89854684,1.6958243e-03
5.22500000e-09,2.41486552,3.29463935,0.90417109,1.6640305e-03
5.25000000e-09,2.40873665,3.29476034,0.90967295,1.6327506e-03
5.27500000e-09,2.40271958,3.29487935,0.91505395,1.6019792e-03
5.30000000e-09,2.39681304,3.29499638,0.92031568,1.5717107e-03
5.32500000e-09,2.39101575,3.29511142,0.92545770,1.5419397e-03
5.35000000e-09,2.38532641,3.29522447,0.93046554,1.5126606e-03
5.37500000e-09,2.37974370,3.29533554,0.93533690,1.4838680e-03
5.40000000e-09,2.37426627,3.29544463,0.94007649,1.4555563e-03
5.42500000e-09,2.36889277,3.29555175,0.94468849,1.4277198e-03
5.45000000e-09,2.36362182,3.29565691,0.94917675,1.4003531e-03
5.47500000e-09,2.35845205,3.29576011,0.95354497,1.3734505e-03
5.50000000e-09,2.35338206,3.29586136,0.95779671,1.3470063e-03
5.52500000e-09,2.34841044,3.29596068,0.96193544,1.3210150e-03
5.55000000e-09,2.34353580,3.29605808,0.96596448,1.2954708e-03
5.57500000e-09,2.33875673,3.29615357,0.96988708,1.2703683e-03
5.60000000e-09,2.33407180,3.29624717,0.97370634,1.2457016e-03
5.62500000e-09,2.32947960,3.29633889,0.97742528,1.2214652e-03
5.65000000e-09,2.32497872,3.29642876,0.98104679,1.1976535e-03
5.67500000e-09,2.32056774,3.29651679,0.98457366,1.1742607e-03
5.70000000e-09,2.31624525,3.29660300,0.98800859,1.1512814e-03
5.72500000e-09,2.31200984,3.29668741,0.99135415,1.1287098e-03
5.75000000e-09,2.30786011,3.29677004,0.99461284,1.1065403e-03
5.77500000e-09,2.30379465,3.29685091,0.99778709,1.0847674e-03
5.80000000e-09,2.29981207,3.29693005,1.00087920,1.0633855e-03
5.82500000e-09,2.29591100,3.29700747,1.00389144,1.0423891e-03
5.85000000e-09,2.29209005,3.29708320,1.00682596,1.0217726e-03
5.87500000e-09,2.28834824,3.29715727,1.00968486,1.0015305e-03
5.90000000e-09,2.28468874,3.29722969,1.01247018,9.8165736e-04
5.92500000e-09,2.28111422,3.29730049,1.01518388,9.6214773e-04
5.95000000e-09,2.27762436,3.29736970,1.01782787,9.4299620e-04
5.97500000e-09,2.27421803,3.29743734,1.02040398,9.2419737e-04
6.00000000e-09,2.27089371,3.29750343,1.02291401,9.0574590e-04
6.02500000e-09,2.26764960,3.29756800,1.02535970,8.8763647e-04
6.05000000e-09,2.26448374,3.29763108,1.02774271,8.6986382e-04
6.07500000e-09,2.26139411,3.29769270,1.03006470,8.5242269e-04
6.10000000e-09,2.25837866,3.29775286,1.03232724,8.3530790e-04
6.12500000e-09,2.25543534,3.29781161,1.03453188,8.1851429e-04
6.15000000e-09,2.25256213,3.29786897,1.03668011,8.0203675e-04
6.17500000e-09,2.24975706,3.29792496,1.03877339,7.8587021e-04
6.20000000e-09,2.24701821,3.29797960,1.04081314,7.7000964e-04
6.22500000e-09,2.24434370,3.29803293,1.04280074,7.5445009e-04
6.25000000e-09,2.24173172,3.29808497,1.04473752,7.3918661e-04
6.27500000e-09,2.23918054,3.29813575,1.04662478,7.2421433e-04
6.30000000e-09,2.23668847,3.29818528,1.04846380,7.0952841e-04
6.32500000e-09,2.23425387,3.29823359,1.05025580,6.9512409e-04
6.35000000e-09,2.23187519,3.29828072,1.05200200,6.8099663e-04
6.37500000e-09,2.22955091,3.29832667,1.05370356,6.6714136e-04
6.40000000e-09,2.22727958,3.29837149,1.05536161,6.5355365e-04
6.42500000e-09,2.22505978,3.29841518,1.05697728,6.4022893e-04
6.45000000e-09,2.22289017,3.29845778,1.05855163,6.2716268e-04
6.47500000e-09,2.22076943,3.29849930,1.06008572,6.1435044e-04
6.50000000e-09,2.21869630,3.29853978,1.06158057,6.0178781e-04
6.52500000e-09,2.21666956,3.29857922,1.06303719,5.8947041e-04
6.55000000e-09,2.21468803,3.29861767,1.06445654,5.7739396e-04
6.57500000e-09,2.21275056,3.29865513,1.06583958,5.6555421e-04
6.60000000e-09,2.21085606,3.29869163,1.06718722,5.5394697e-04
6.62500000e-09,2.20900345,3.29872720,1.06850038,5.4256810e-04
6.65000000e-09,2.20719170,3.29876184,1.06977991,5.3141352e-04
6.67500000e-09,2.20541981,3.29879559,1.07102669,5.2047922e-04
6.70000000e-09,2.20368680,3.29882847,1.07224153,5.0976122e-04
6.72500000e-09,2.20199173,3.29886049,1.07342526,4.9925560e-04
6.75000000e-09,2.20033369,3.29889167,1.07457866,4.8895852e-04
6.77500000e-09,2.19871179,3.29892204,1.07570251,4.7886616e-04
6.80000000e-09,2.19712517,3.29895161,1.07679756,4.6897478e-04
6.82500000e-09,2.19557299,3.29898041,1.07786453,4.5928069e-04
6.85000000e-09,2.19405445,3.29900844,1.07890415,4.4978025e-04
6.87500000e-09,2.19256874,3.29903574,1.07991711,4.4046988e-04
6.90000000e-09,2.19111511,3.29906231,1.08090408,4.3134605e-04
6.92500000e-09,2.18969280,3.29908818,1.08186574,4.2240527e-04
6.95000000e-09,2.18830110,3.29911336,1.08280271,4.1364414e-04
6.97500000e-09,2.18693929,3.29913787,1.08371564,4.0505928e-04
7.00000000e-09,2.18560669,3.29916172,1.08460514,3.9664737e-04
